Attribute,Frequency
effect,853
bone,848
slight,845
progression,844
it,844
"
   ",842
low,838
dated,834
measures,832
a.m.,831
internal,830
enhancing,825
malignancy,818
field,817
cerebellar,813
intravenous,813
25,809
residual,809
22,804
improved,804
intubation,803
the tip,799
namepattern2,798
hours,796
silhouette,794
                ,794
no contraindications,793
different,784
sagittal,782
apex,779
sob,777
improvement,777
vertebral,776
removed,775
23,775
complete,775
placed,766
severe,765
contours,756
adrenal,754
bleed,753
bronchial,748
flow,748
28,746
27,745
rul,742
nasogastric,740
patchy,737
29,734
excluded,732
aeration,731
portion,728
jugular,720
following,717
basilar,714
surrounding,713
bronchoscopy,711
  ,708
obstructive,704
imaging,703
scan,702
t1,702
pt,699
gas,696
ij,695
node,694
femoral,692
op,691
the stomach,689
biopsy,687
neck,686
calcifications,685
male,683
minimal,683
the prior study,681
that,681
series,679
involving,677
blood,676
postoperative,670
demonstrates,668
t2,665
given,664
location,663
abd,658
followup,647
the right upper lobe,645
space,645
related,641
proximal,640
body,638
comparisons,637
demonstrate,633
recons,630
lobes,630
loculated,629
ultrasound,628
similar,627
coronal,625
-77,623
suspicious,620
views,619
name8,619
the abdomen,617
narrowing,617
collection,617
                     ,617
the left,613
chronic,613
status post,610
terminates,606
expansion,605
spleen,603
cxr,603
-76,602
gallbladder,600
ext,600
vats,597
metastatic disease,597
limits,596
discussed,595
prominent,594
gadolinium,593
remain,592
probably,590
aortic,590
radiographs,590
ventricle,588
100,588
increasing,585
the brain,583
segment,581
parietal,580
zone,579
p.m.,579
bronch,579
grossly,579
rib,578
multiplanar,577
wet read,575
telephone,570
secondary,570
trachea,569
lytic,569
carcinoma,568
check,567
thoracotomy,567
the heart,566
changed,565
"
    ",565
parenchymal,564
underlying,564
basal,561
definite,560
                                           ,560
pancreas,559
perihilar,559
name3,558
time,558
hemidiaphragm,557
bilaterally,557
recommended,556
line placement,555
addition,554
wire,552
kidney,550
extent,546
hematoma,545
focus,542
cord,542
arteries,539
advanced,539
female,539
the liver,535
junction,535
common,535
"
                                  ",535
kidneys,533
64,533
provisional,533
cardiomediastinal,532
suggestive,529
spinal,529
prior study,528
described,527
ap chest,527
degenerative,526
ventricles,525
additional,524
dyspnea,519
68,516
sulci,516
75,513
the study,513
magnevist,513
2166,512
thrombus,512
studies,512
the right lower lobe,505
service,503
the level,503
bladder,502
rll,501
airway,499
provisional findings impression,497
calcification,496
lul,496
elevation,495
73,495
decrease,494
inferior,493
ivc,493
satisfactory,492
needle,492
embolism,492
tiny,491
tracheostomy,491
foci,491
hydropneumothorax,491
sinuses,490
overall,489
67,488
signal,488
abnormal,487
extremity,487
site,486
extending,485
marked,484
representing,484
better,484
question,483
distress,481
c&recons,481
mdct,480
including,480
retrocardiac,479
pulmonary edema,478
chest tube,477
available,475
(cont,475
prominence,474
lines,473
74,472
primary,470
colon,470
overlying,469
ct head w/o contrast,468
h,466
surgery,466
enlargement,466
the left lower lobe,465
thoracentesis,463
sheath,462
the left hemithorax,459
significantly,457
occipital,457
nodular,456
63,455
acquired,455
infiltrates,452
31,452
62,451
attenuation,451
cervical,449
craniotomy,449
vena,448
cardiomegaly,447
abnormality,447
diameter,445
vasogenic,442
bibasilar,442
radiation,442
58,439
vessels,439
hypotension,439
greater,438
matter,437
expected,437
aspect,436
paratracheal,436
assessment,432
infarct,432
the procedure,432
component,431
resolution,431
infarction,430
correlation,430
cava,429
"

  ",429
terminating,426
cc,424
adenopathy,424
lung ca,424
intravenous contrast,423
cough,422
continued,420
stenosis,419
stem,419
difficult,418
distinct,418
white,418
the lungs,415
ascites,413
axillary,413
degree,412
partial,411
today,410
rule,409
access,408
windows,408
the left upper lobe,407
mass effect,407
abnormalities,406
normal limits,406
cavity,405
diffusion,405
hx,404
66,403
sepsis,402
drain,402
the mediastinum,401
motion,400
guidance,400
these findings,399
2161,397
hydrocephalus,397
pulm,397
m,397
please eval,397
65,397
weighted,395
the head,394
the right hemithorax,393
glass,393
concern,392
mental,392
procedural,391
cells,390
clips,388
loops,388
defined,386
imaged,385
costophrenic,385
partially,382
hilum,382
normally,382
tue,381
tracheal,380
wedge,379
                                       ,379
caliber,378
mon,377
ground,376
short,375
suggest,374
calcified,373
bases,373
"



",373
multifocal,372
lung mass,371
2191,371
standard,371
"
     ",369
infectious,369
no significant change,369
2138,368
development,368
90,368
diaphragm,367
represents,366
aerated,366
major,365
weakness,365
congestion,364
bronchi,364
differences,364
tissues,360
abscess,360
tachycardia,360
endotracheal tube,360
angle,360
probable,359
59,358
compatible,358
outside,358
suggesting,357
hepatic,357
age,357
sclerotic,356
versus,356
its tip,355
(pfi,354
"final report
 ap chest",354
near,352
-59,352
contiguous,351
possibly,351
rml,350
lingula,349
herniation,349
french,348
no change,348
ngt,348
filter,348
yesterday,345
hydronephrosis,344
filling,344
bleeding,344
smaller,344
embolization,343
medial,342
portions,339
positioning,339
paranasal,338
"final report
 reason",338
lll,338
cyst,338
70,338
remaining,337
pathology,337
flair,336
lumbar,336
superimposed,336
dense,336
2126,335
shows,335
fluoroscopic,335
atrium,335
secretions,335
esophagus,334
overload,334
".

 findings",334
evaluated,333
2177,331
combination,331
pneumocephalus,330
located,329
61,329
largest,329
involvement,328
the svc,328
53,325
high,325
mastoid,325
57,325
persists,323
contour,323
presence,322
scattered,321
pattern,321
atherosclerotic,319
76,317
fistula,317
77,317
interpretation,317
heart size,316
hypodensity,316
60,316
date,316
a small amount,315
reformatted,315
y,314
2195,313
subcarinal,312
erect,312
reviewed,312
etiology,312
temporal,312
layering,312
semi,311
sinus,310
drainage,310
configuration,309
subsegmental,309
augmentation,309
pigtail,309
radiologist,309
subcutaneous emphysema,309
oral,308
lumen,306
dilatation,306
perform,305
(lf,304
the endotracheal tube,304
current,303
2117,303
vasculature,303
pet,303
branches,303
linear,303
elevated,302
staging,302
the previous study,302
gland,302
segmental,300
2172,300
levels,299
swallow,299
peripheral,298
72,298
ni,297
satisfactory position,297
nasogastric tube,297
80,297
bilat,297
left lung,296
this study,296
somewhat,296
canal,296
pelvic,295
2182,295
100cc,295
2107,295
pls,295
airspace,294
adenocarcinoma,294
         ,294
feeding,294
apparent,293
arterial,293
thyroid,292
complications,292
consolidations,292
                         ,291
operative,291
mildly,290
cerebral,290
78,289
right pleural effusion,287
w/o,287
version,287
sedation,286
rounded,286
the aorta,286
titles,285
wed,285
81,285
2136,284
lucency,284
dr,283
collapsed,283
ionic,282
2176,281
m.d.,281
the appearance,280
69,280
heterogeneous,279
ischemic,279
"

                                                             ",278
fractures,278
osh,278
extends,278
                                          ,278
occlusion,277
airways,277
neoplasm,277
doppler,276
fdg,276
newly,276
ill,275
water,274
relatively,274
dictation,273
pulmonary embolism,273
2140,273
swelling,272
hemorrhagic,272
esophageal,272
et tube,272
total,271
vessel,271
results,271
unchanged position,271
course,271
respiratory failure,270
mainstem,270
hemothorax,269
79,268
markings,268
"final report
 portable chest",268
administered,267
rectum,267
dilated,267
"no
 pneumothorax",267
appropriate,267
volumes,267
right upper lobectomy,266
sized,266
2116,266
seal,265
follow,265
setting,265
reflect,265
further evaluation,265
bed,264
torso,264
54,264
ventricular,264
little,264
stage,263
iliac,263
volume loss,263
inlet,262
regions,262
parenchyma,262
the right lung base,262
origin,261
36,261
the catheter,261
2149,261
congestive,260
stroke,260
the interval,260
                                     ,260
carotid,259
bony,259
spread,258
dissection,258
the upper abdomen,258
the,257
cvl,257
fax,257
chest port,257
material,257
fri,257
resp,256
aneurysm,256
the region,256
2194,256
bone windows,256
conclusion,255
portable ap chest radiograph,255
window,255
allowing,255
sterile,254
chest radiograph,254
2183,254
cath,254
brachiocephalic,254
71,254
cysts,254
positioned,254
t,253
2110,253
2181,253
extension,253
remainder,252
name9,252
2112,252
glands,251
essentially,251
2105,251
              ,250
altered,250
upper lobectomy,249
[**last name,249
min,249
syndrome,249
2192,248
o2,247
the heart size,247
2153,247
2131,246
protocol,246
pathologic,246
hemisphere,246
possibility,246
osseous structures,245
superficial,245
-77 by different physician,244
68 year old man,244
bilateral pleural effusions,244
fevers,244
disc,244
magnevist amt,244
recurrent,244
d,243
mesenteric,243
spiculated,243
desaturation,243
none,243
ct chest w/contrast,243
swan,242
the trachea,242
and/or,242
ng tube,242
2188,241
predominantly,240
review,240
anesthesia,240
embolus,240
"
      ",239
the administration,239
quadrant,239
fourth,238
2103,238
2199,238
defect,238
second,238
150,237
days,237
signs,237
artifact,237
2119,236
cabg,235
empyema,235
the mass,235
ends,234
diverticulitis,234
                   ,234
films,233
the time,233
invasion,233
retroperitoneal,232
(portable ap,232
metastatic lung cancer,232
compressibility,232
lack,232
sigmoid,231
2186,231
b,230
2160,230
52,230
2171,230
                  ,229
nonionic,228
               ,228
trach,228
finding,228
fall,228
popliteal,228
projecting,228
2142,228
obstructing,227
trauma,227
leftward,227
distended,227
unilat,227
2144,227
55,226
these,226
squamous,226
numerous,226
guided,226
respiratory distress,226
provided,226
fossa,226
med,225
products,225
uptake,224
mra,224
larger,224
the cardiac silhouette,224
causing,224
56,223
og,223
hernia,223
confluent,223
blunting,223
malignant,222
local,222
first name9,221
appreciated,221
vs.,220
2164,220
2158,220
completely,220
the left base,220
sat,219
2198,219
yo,219
arch,218
2167,218
fissure,218
information,218
fields,218
86,218
right lung,218
asymmetric,217
f,217
t12,217
fat,216
skin,216
intra,216
2115,215
scarring,215
chest tubes,214
           ,214
"final report
 chest radiograph

 indication",214
2151,214
addl,213
2139,213
sternotomy,213
pfi report,213
hypodense,213
effacement,212
initials,212
thorax,211
the right side,211
the right base,211
bx,211
clinically,211
who,211
mr head w & w/o contrast,210
additionally,210
onset,210
2134,209
basilic,209
2133,208
2196,208
vs,208
44,207
the ventricles,207
extra,207
confirm,206
seizure,206
prostate,205
lymphangitic,205
rightward,205
alveolar,204
2118,204
l1,204
thrombosis,204
included,204
interval placement,204
trace,203
2197,202
ileus,202
attending,201
arm,201
hyperdense,201
length,200
the previous radiograph,200
50,200
leg,200
ischemia,200
like,200
use,200
2120,199
evident,199
62 year old man,199
u,199
                 ,199
an endotracheal tube,198
incompletely,198
periventricular,198
markedly,198
extubation,198
nonspecific,197
barium,197
enhanced,197
assessed,196
need,196
projects,196
color,196
name13,196
entire,196
injection,196
fusion,195
obscured,194
successful,194
suggests,194
lingular,194
2130,194
characterize,194
lung cancer/sda,193
endobronchial,193
2101,193
130,193
2145,192
interval increase,192
good,192
l5,192
necrotic,192
2146,191
needs,191
source,191
mod,191
hospital1,191
recently,191
considered,191
the diaphragm,191
lateral chest,190
2.5,190
tracer,190
2122,190
guid,189
deep,189
filled,189
widening,189
cpt,189
82,189
non-small cell lung cancer,189
reformations,188
the gallbladder,188
pole,188
pacemaker,188
2106,188
based,187
cystic,187
83,187
differential,187
1.5,187
detected,186
2100,186
name4,186
worsened,186
codes,186
improving,186
2147,185
the lung,185
normally midline structures,185
cavitary,185
2185,185
cerebellum,184
ganz,184
emphysematous,184
pneumomediastinum,183
cirrhosis,183
2175,183
0,183
74 year old woman,182
2178,182
the thoracic inlet,182
pneumo,182
ards,182
2170,181
preserved,181
2162,181
posteriorly,181
vomiting,181
brachial,180
found,180
resolved,180
leak,180
the pelvis,180
"no
 evidence",180
cisterns,180
previous study,179
150cc,179
the right middle lobe,179
2184,178
43,178
benefits,178
indications,178
guidewire,178
l4,177
particularly,177
wires,177
67 year old man,177
"
",177
repeat,177
characterized,177
emboli,177
met,177
2109,177
2113,177
ago,176
64 year old man,176
son[**name,176
densities,176
immediate,176
"final report
 clinical history",175
64 year old woman,175
dependent,175
the lung bases,175
reconstructions,175
susceptibility,175
nausea,174
2148,174
"
         ",174
2128,174
small amount,174
atelectatic,174
reformats,173
2168,173
rt,173
laterally,173
the kidneys,173
tamponade,172
"final report
 study",172
noncontrast,172
free air,172
attention,172
apices,172
ich,172
presents,171
42,171
minimally,171
distribution,171
inflammatory,171
gi,171
lidocaine,170
reconstruction,170
pulled,170
bedside,170
appreciable,170
bodies,169
"
       ",169
2189,169
no significant interval change,169
foley,169
r/o,169
the left lung base,169
urinary,168
absence,168
insertion,168
transcription,168
order,168
ct chest,167
thin,167
mastoid air cells,167
direct,167
exclude,166
2159,166
clot,166
simple,165
2104,165
cad,165
intermedius,165
the superior vena cava,165
ett placement,165
maxillary,165
the right apex,164
moderately,164
phone,164
difficulty,163
pathologically,163
re,163
opacified,163
dobbhoff,163
admitted,163
epidural,163
approach,162
supraclavicular,162
gastric,162
developed,162
diagnosed,162
developing,161
thanks,161
brain mets,161
the bladder,161
this region,161
   ,160
fibrosis,160
margin,160
descending,160
the right kidney,160
recommend,160
hiv,160
interval changes,160
51,160
48,159
2123,159
                    ,158
septal,158
      ,158
subtle,158
the size,158
system,158
the mid svc,158
interval removal,158
pleural effusions,158
contains,158
the presence,158
"130
 _",158
2163,158
rim,157
requirement,157
2174,157
defects,157
"final report
 chest",157
40,156
2121,156
minor,156
cpt codes,156
portal,156
mucosal,156
brain mass,156
territorial,156
angiography,155
lower lobe,155
the left hemidiaphragm,155
2200,155
conjunction,155
the film,155
consent,154
"pfi report
 pfi",154
stranding,154
2127,154
interval development,154
gauge,154
the remainder,154
vent,153
vasogenic edema,153
the thoracic spine,153
/o,152
63 year old man,152
2141,152
rigid,152
therapy,152
example,152
chemo,152
bones,152
cholecystitis,151
water seal,151
appearing,151
degenerative changes,151
informed,151
correlate,151
sbo,151
an area,151
ribs,151
t10,151
chest ct,151
pericardial effusion,151
axis,151
two chest tubes,150
myocardial,150
61 year old man,150
2179,150
cta chest w&w/o c&recons,150
hazy,150
single ap portable view,150
hypertension,150
exchanged,150
some,149
a combination,149
fashion,149
xrt,149
procedural service,149
2157,149
contiguous axial images,149
distention,149
sternal,148
2165,148
oxygen,148
the left kidney,148
nature,148
necrosis,148
worrisome,147
       ,147
suggestion,147
support,147
prepped,147
prevascular,146
transferred,146
video,146
icu,146
gram,146
cause,145
differentiation,145
end,145
the degree,145
single view,145
67 year old woman,145
destruction,145
the spleen,145
the findings,145
(ni,144
grayscale,144
70 year old man,144
radiologists,144
deformity,144
postoperative changes,143
irregular,143
inguinal,143
hip,143
communicated,143
2155,143
fx,143
cavoatrial,143
pleura,143
g,142
the wire,142
centrilobular,142
month,142
tortuous,142
border,142
minutes,142
the right hemidiaphragm,141
2124,141
phase,141
placment,141
the apex,141
dobhoff,141
u.s.,141
progressive,140
infrahilar,140
multilevel,140
53 year old man,140
skull,140
draped,140
the neck,140
sequences,140
perfusion,140
"the chest

 reason",140
tube placement,140
pericardium,139
demonstrating,139
2129,139
88,139
lung ca/sda,139
subsequent,139
hypodensities,139
great,139
presenting,139
the left side,138
intracranial hemorrhage,138
                                        ,137
adrenals,137
echo,137
continues,137
the prior examination,137
sun,137
the pancreas,137
no pleural effusion,137
77 year old man,137
inserted,137
infarcts,136
the base,136
atrophy,136
multidetector,136
"




",136
-76 by same physician,136
the right atrium,135
median,135
small cell lung cancer,135
the fourth ventricle,135
inferiorly,135
post-,135
intercostal,135
timeout,135
sclc,135
ms,135
pleural fluid,134
mp,134
reexpansion,134
neural,134
biliary,134
cardiopulmonary,134
an ng tube,134
             ,134
the same day,133
infiltration,133
extubated,133
59 year old man,133
no shift,133
substantial,132
early,132
m.,132
fluoroscopy,132
acute process,132
the needle,132
chemotherapy,132
o.r.,132
stones,132
the right hilum,131
corresponding,131
2125,131
tsurg,131
transverse,131
58 year old woman,131
2143,131
rage,131
line placement                                      clip #,131
indicated,131
pneumonitis,130
both lungs,130
2190,130
c5,130
by different physician,130
branch,130
rotation,130
lateral views,130
diverticulosis,129
2173,129
hyperintensity,129
2132,129
63 year old woman,129
leukocytosis,129
preop,129
54 year old woman,129
each addl 15 min,129
risks,129
rulobectomy,129
preliminary,128
3.5,128
examinations,128
"final report
 indications",128
suspected,128
cholelithiasis,128
post-surgical changes,128
tips,128
postobstructive,128
a patient,128
vascularity,128
lower lobe atelectasis,128
presumably,127
collections,127
type,127
cva,127
intact,127
the et tube,127
84,127
complete opacification,127
helpful,127
treatment,126
the possibility,126
fluoro,126
36 contrast,126
141,126
narrowed,126
anteriorly,126
worse,126
no free air,126
t6,126
small right pleural effusion,126
right upper lobe,126
2201,125
no pleural effusions,125
chest tube removal,125
                                         ,125
fully,125
right pneumonectomy,125
tachypnea,125
"


 ",125
1.3,125
2150,125
coiled,125
the osseous structures,124
"
            ",124
fullness,124
fluoroscopic guidance,124
2137,124
addendum,124
this area,124
58 year old man,124
lies,124
2114,124
alignment,124
the right frontal lobe,124
suprahilar,123
a nasogastric tube,123
visible,123
                            ,123
oropharyngeal,123
small bowel,123
waveforms,123
zones,123
the right chest wall,123
no interval change,123
surgical clips,123
73 year old man,123
reduction,122
waterseal,122
mi,122
unable,122
first,122
"ptx
 admitting diagnosis",122
uterus,122
l2,121
anemia,121
sel,121
tolerated,121
planning,121
preoperative,121
tracheostomy tube,121
thick,121
peg,121
unclear,120
obtain,120
47,120
the esophagus,120
ct chest w/o contrast,120
include,120
passes,120
subdiaphragmatic,120
blastic,120
subcentimeter,120
diffusely,120
stable appearance,119
shifted,119
duct,119
pleurodesis,119
replacement,119
t7,119
existing,119
mediastinoscopy,119
arrest,119
occlusive,118
45,118
85,118
hila,118
scoliosis,118
cortical,118
"infiltrate
 _",118
tree,118
widespread,118
sats,118
c2,118
positions,118
situ,118
preceding,117
atrial,117
md,117
nsurg,117
"
        ",117
good position,117
49,117
table,117
height,117
81 year old man,117
delayed,117
cardiomediastinal silhouette,116
foot,116
followed,116
66 year old man,116
criteria,116
pressure,116
0-,116
tension,116
gallstones,116
monitoring,116
the lesion,116
subarachnoid,115
periphery,115
sicu,115
chest pain,115
lobar,115
2193,115
staples,115
2111,115
angiogram,115
crani,114
ca,114
hilus,114
c3,114
75 year old man,114
2180,114
questionable,114
60 year old man,113
omnipaque,113
includes,113
poor,113
progressed,113
left pleural effusion,113
compressive,113
unit,113
c6,112
containing,112
sutures,112
leads,112
interval improvement,112
neoplastic,112
i,112
free fluid,112
[**clip number,112
unknown,112
grade,112
the colon,111
"the
 patient",111
rvr,111
encasement,111
2.6,111
prior exam,111
obscuration,111
small bilateral pleural effusions,111
the rectum,111
the previous examination,111
dominant,111
66 year old woman,111
57 year old man,111
46,111
    ,111
evd,111
the area,110
ipf,110
highly,110
79 year old man,110
"
                                                                       ",110
punctate,110
micropuncture,110
rapid,110
t11,110
dr. [**last name,109
oral contrast,109
relative,109
groin,109
4.5,109
the current study,109
discrete,109
                                      ,109
congestive heart failure,109
currently,109
"


         ",109
innumerable,109
2152,109
"pneumothorax
 _",109
hiatal,109
centrally,109
stents,108
courses,108
the origin,108
blood products,108
duodenum,108
despite,108
external,108
oblique,108
clearly,108
l3,107
39,107
medially,107
details,107
ge,107
complete collapse,107
double,107
team,107
ethmoid,107
"[**0-0-**]
 reason",107
precarinal,107
patency,107
bibasilar atelectasis,107
obvious,107
no pericardial effusion,107
adrenal glands,107
ml,106
eval interval change,106
plaque,106
scc,106
78 year old man,106
haziness,106
the amount,106
consult,106
the line,106
away,106
the examination,106
unchanged appearance,106
measure,106
cp,106
antibiotics,105
obliteration,105
+,105
65 year old man,105
76 year old man,105
slight increase,105
ct abd,105
c4,105
leptomeningeal,105
colitis,105
immediately,105
gastrointestinal,105
engorgement,105
bronchopleural,104
orbits,104
altered mental status,104
                                    ,104
prior ct,104
sp,104
entirely,104
gross,104
subdural,104
mediastinal shift,104
mucous,104
portable ap chest,104
pancreatic,104
the position,104
loculation,104
perforation,103
stenting,103
right chest tube,103
long,103
pulm edema,103
occluded,103
superiorly,103
hypoattenuating,103
penetration,103
comments,103
cephalic,103
indicating,103
evolution,103
injury,103
displacement,103
69 year old woman,103
background,103
1.8,103
intensity,102
65 year old woman,102
centered,102
chest x,102
by same physician,102
avid,102
2.2,102
intraperitoneal,102
1.6,102
hypoxic,102
     ,102
abutting,101
sparing,101
chest tube placement,101
ganglia,101
drop,101
radiographic,101
t4,101
compare,101
radline,101
hemostasis,101
relevant,101
reflecting,101
hypoattenuation,101
hardware,101
72 year old woman,101
hypoxemia,100
the right lung apex,100
postop,100
62 year old woman,100
reveal,100
ready,100
ogt,100
decreasing,100
1% lidocaine,100
clinical information,100
the aortic arch,100
increased opacity,100
remove,100
2169,100
confirmed,100
indicate,99
balloon,99
request,99
t8,99
foraminal,99
redemonstrated,99
dedicated,99
overlies,99
foramen,99
the midline,99
tc-[**age,99
sclerosis,99
the left frontal lobe,98
stool,98
this patient,98
2.1,98
74 year old man,98
bronchograms,98
portable abdomen,98
subcortical,98
the lingula,98
75 year old woman,98
2154,98
1.7,98
rotated,98
peel,97
presented,97
repositioning,97
appearances,97
arteriogram,97
1.2,97
s1,97
applied,97
"the
 right lung",97
a,97
a small left pleural effusion,97
embo,97
intra-,97
the prior exam,96
the ng tube,96
the spine,96
interval decrease,96
speech,96
          ,96
nearly,96
cavitation,96
borderline,96
reference,96
redistribution,96
revised,96
"15
 _",96
the skin,96
the site,96
best,96
2135,95
1.4,95
et tube placement,95
solid,95
paramediastinal,95
devices,95
reported,95
71 year old man,95
38,94
poorly,94
no prior studies,94
"final report
 pa",94
                                                ,94
requiring,94
sleeve,94
causes,94
surface,93
presumed,93
organ,93
chest ap,93
sequence,93
76 year old woman,93
hyperdensity,93
2.8,93
evolving,93
3d,93
suction,93
the right lobe,93
the cervical spine,93
lobulated,93
morning,93
"the
 carina",93
1.9,92
point,92
this level,92
right lower lobe,92
pleurx,92
eg,92
the surgical bed,92
deviation,92
supply,92
pubic,92
indeterminate,92
t3,92
symphysis,92
intraparenchymal,92
sensitive,92
pulmonary embolus,92
priors,91
"pneumothorax
 admitting diagnosis",91
the cardiomediastinal silhouette,91
"ct 150cc nonionic contrast
 reason",91
ptitle,91
ct scan,91
this date,91
sac,91
the setting,91
confusion,91
reflects,90
peripherally,90
2.4,90
heparin,90
fentanyl,90
pancoast,90
display,90
activity,90
thickened,90
axial images,90
nodularity,90
ureters,90
suggested,90
68 year old woman,90
            ,90
bolus,90
vas,90
the exam,89
the tube,89
dfdkq,89
intraventricular,89
splenic,89
"the left
 lung",89
reticular,89
the left hilum,89
bulky,89
mild pulmonary edema,89
drs,89
localization,89
this lesion,89
tailored,89
neutropenia,88
clinical indication,88
2108,88
this mass,88
hemispheres,88
pneumoperitoneum,88
resulting,88
cardiac and mediastinal contours,88
plct,88
helical,88
desat,88
hour,88
pronounced,88
breathing,87
reaccumulation,87
effusion;left,87
"the
 stomach",87
carcinoid,87
this finding,87
atypical,87
69 year old man,87
midline structures,87
80 year old man,87
structure,87
ventilation,87
dimension,87
two views,87
the abdominal aorta,87
sch,87
thickness,87
nodal,87
87,87
perc,87
clearing,86
56 year old man,86
rij,86
svc syndrome,86
lymphangitic spread,86
lung expansion,86
mediastinal contours,86
versed,86
local anesthesia,86
137,86
t9,86
subsequently,86
[**telephone/fax,86
extremities,86
"final report
 clinical indication",85
dating,85
mucus,85
persist,85
uncertain,85
improved aeration,85
subfalcine,85
2.7,85
crackles,85
2187,85
"the
 right",85
post-obstructive pneumonia,85
2.3,85
ap single view,85
"final report
 procedure",85
hear,85
conglomerate,85
largely,84
interim,84
intraluminal,84
explained,84
abdominal pain,84
ct torso,84
