General Attribute,General Frequency,Matched Medical Attributes,Matched Medical Frequencies,Mean Cosine Similarity,Direction
find,8,Multisection : Find : Pt : Spine . Cervical : Doc : Ct; Multisection : Find : Pt : Spine . Thoracic : Doc : Ct; Multisection : Find : Pt : Abdomen Spine . Lumbar : Doc : Ct; Multisection : Find : Pt : Abdomen Pelvis : Doc : Ct; Note : Find : Pt : Setting : Doc : Physician Attending; Surgical Operation Note : Find : Pt : Setting : Doc : Role; Guidance For Percutaneous Biopsy : Find : Pt : Chest Lung : Doc : Imaging Modality; Guidance For Percutaneous Aspiration . Fine Needle : Find : Pt : Xxx : Doc : Ct; Multisection : Find : Pt : Abdomen : Doc : Us; Multisection : Find : Pt : Extremity : Doc : Us,44; 51; 20; 130; 3; 5; 7; 2; 8; 1,0.7114216138721211,General ⊂ Medical
ventral,39,Unspecified Ventral Hernia Without Mention Of Obstruction Or Gangrene,2,0.7118758054651435,General ⊂ Medical
convex,35,Convex To Left; Convex To Right,3; 4,0.7126765540847027,General ⊂ Medical
z,1,Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests Small Aneurysm; Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests No Involvement,3; 2,0.7131768519466011,General ⊂ Medical
pt,433,Multisection : Find : Pt : Spine . Cervical : Doc : Ct; Multisection : Find : Pt : Spine . Thoracic : Doc : Ct; Multisection : Find : Pt : Abdomen Spine . Lumbar : Doc : Ct; Multisection : Find : Pt : Abdomen Pelvis : Doc : Ct; Note : Find : Pt : Setting : Doc : Physician Attending; Surgical Operation Note : Find : Pt : Setting : Doc : Role; Guidance For Percutaneous Biopsy : Find : Pt : Chest Lung : Doc : Imaging Modality; Guidance For Percutaneous Aspiration . Fine Needle : Find : Pt : Xxx : Doc : Ct; Multisection : Find : Pt : Abdomen : Doc : Us; Speciman Volume : Vol : Pt : Plr Fld : Qn; Multisection : Find : Pt : Extremity : Doc : Us; Speciman Volume : Vol : Pt : Bld : Qn; Specimen Volume : Vol : Pt : Pericard Fld : Qn; Appearance : Aper : Pt : Pericard Fld : Nom,44; 51; 20; 130; 3; 5; 7; 2; 8; 1; 1; 1; 1; 1,0.7131943946180167,General ⊂ Medical
axial,1445,Computerized Axial Tomography Of Thorax; Computerized Axial Tomography Of Abdomen; Computerized Axial Tomography Of Brain With Radiopaque Contrast; Computerized Axial Tomography Without Contrast; Axial Hiatal Hernia,1378; 18; 163; 6; 8,0.7137065480583891,General ⊂ Medical
administrative,1,Administrative Information Regarding Test Age Of Patient,1,0.7139682051980415,General ⊂ Medical
role,1,Surgical Operation Note : Find : Pt : Setting : Doc : Role,5,0.7140770728600087,General ⊂ Medical
suggests,194,Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests Small Aneurysm; Kawasaki Disease Associated Coronary Artery Aneurysm Z Score Suggests No Involvement,3; 2,0.7141103085580647,General ⊂ Medical
years,22,75 Years Old; 40 Years,301; 22,0.7141537117711085,General ⊂ Medical
pounds,3,20 Pounds,2,0.7146918545604065,General ⊂ Medical
weeks,47,Three Weeks; Last Two Weeks; 2 Weeks; Two Weeks; 3 Weeks; 4 Weeks; 6 Weeks,2; 3; 4; 10; 4; 10; 3,0.7151755198757809,General ⊂ Medical
sixth,58,Surface Of Left Sixth Rib; Sixth Rib Fracture,1; 4,0.7153078944246958,General ⊂ Medical
magnum,40,Hernia Of Cerebellar Tonsil Into Foramen Magnum; Meningioma Of The Foramen Magnum,29; 1,0.716159432053808,General ⊂ Medical
sleeve,94,Bronchial Sleeve Resection,1,0.7163845013129062,General ⊂ Medical
block,15,Electrocardiographic Right Bundle Branch Block,1,0.7179939208114645,General ⊂ Medical
quantitative,3,Number Of Unsuccessful Attempts : Number : Point In Time : Patient : Quantitative; Ejection Fraction : Volume Fraction : Point In Time : Heart . Ventricle . Left : Quantitative; Breaths : Number Count Time : Point In Time : Respiratory System : Quantitative,6; 1; 4,0.7182350806696688,General ⊂ Medical
thecal,76,Thecal Sac Effacement,1,0.7186923650092251,General ⊂ Medical
sinus,305,Structure Of Carotid Sinus; Apertura Sinus Maxillaris; Sphenoid Sinus Structure; Superior Sagittal Sinus Structure; Ethmoid Sinus Structure; Structure Of Transverse Sinus; Chronic Sinus Disease; Acute Inflammation Of Nasal Sinus; Right Ethmoid Sinus Structure; Maxillary Sinus Retention Cyst,7; 94; 51; 3; 34; 4; 2; 6; 1; 1,0.7187422013270255,General ⊂ Medical
anatomy,63,Nasogastric Tube Site : Anatomy : Point In Time : Patient : Nominal,1,0.7188715753415421,General ⊂ Medical
lumen,235,Lumen Of Gallbladder,5,0.7190163499135088,General ⊂ Medical
averaging,10,Partial Volume Averaging,3,0.7191204598969648,General ⊂ Medical
onset,197,New Onset; Acute Onset Cough; Rapid Onset; New Onset Of Cough; Chest Pain Occurring Suddenly As New Onset; New Onset Seizures; Hypoxia New Onset; Atrial Fibrillation New Onset,98; 1; 7; 7; 5; 4; 1; 1,0.7202135536959563,General ⊂ Medical
tc,2,Technetium Tc 99M 2 Methoxy 2 Methylpropylisonitrile,2,0.7202306156535737,General ⊂ Medical
using,308,Magnetic Resonance Imaging Using Gadolinium Contrast Procedure; Drainage Using Computed Tomography Guidance,10; 8,0.7203525861426896,General ⊂ Medical
versus,356,Fulminant Graft Versus Host Disease; Chronic Graft Versus Host Disease,19; 61,0.7213850658957117,General ⊂ Medical
measures,788,Electrocardiograph Lead : Finding : To Identify Measures At A Point In Time : Patient : Nominal,6,0.7214156663268786,General ⊂ Medical
concentrated,3,Nasogastric Intubation For Enteral Infusion Of Concentrated Nutritional Substances,6,0.7215008445554625,General ⊂ Medical
core,53,Needle Biopsies Large Core; Computed Tomography Guided Core Biopsy,14; 8,0.7215628291481502,General ⊂ Medical
street,2,Living On The Street,5,0.7222698555274129,General ⊂ Medical
seventh,39,Seventh Rib Fracture,5,0.7223253718761027,General ⊂ Medical
abnormally,33,History Of Abnormally Low Blood Pressure,2,0.7232032167430947,General ⊂ Medical
entire,196,Entire Right Hemithorax; Entire Left Hemithorax; Present Throughout The Entire Procedure; Entire Lung Field; Entire Body Of Fourth Thoracic Vertebra; Entire Anterior Portion Of Diaphragmatic Aspect Of Liver; Entire Lower Abdominal Quadrant Body Structure; Entire Back Body Structure; Entire Ul Upper Limb; Entire Trochanteric Section Of Femur; Entire Body Of Fifth Lumbar Vertebra; Headache On Entire Right Side; Entire Scapular Region,5; 6; 5; 2; 4; 1; 1; 2; 2; 3; 1; 1; 1,0.7242412797498402,General ⊂ Medical
perfusion,126,Catheter Guiding May Include Infusion Perfusion Capability; Computed Tomography Perfusion Imaging; Perfusion Imagings; Pulmonary Ventilation Perfusion Scans,9; 20; 1; 1,0.7244555174988334,General ⊂ Medical
restricted,81,Restricted Diffusion,78,0.7259238651125288,General ⊂ Medical
cables,2,Cables Leads Electroencephalography,1,0.7268092590055346,General ⊂ Medical
branches,282,Thoracic Aorta And Its Branches Body Structure; Abdominal Aorta And Its Branches Body Structure; Renal Artery And Its Branches Body Structure; Posterior Cerebral Artery And Its Branches Body Structure,1; 7; 1; 1,0.7270032886518164,General ⊂ Medical
metal,20,Metal Artifact,1,0.7277112980470783,General ⊂ Medical
eighth,22,Eighth Rib Fracture,3,0.7277547218655765,General ⊂ Medical
within,4649,Within Normal Limits; Within 24 Hours; Within Last 24 Hours,448; 1; 5,0.7280668086563434,General ⊂ Medical
single,1586,Single View; Peripherally Inserted Central Catheter Picc Single Luman; Cxr Single View; Medical Imaging Single Photon Emission Computed Tomography; Single Chamber Pacemaker Device,1078; 22; 1; 1; 2,0.728411347543499,General ⊂ Medical
picture,14,Medical Imaging Picture Archiving And Communication Systems,30,0.7290085768286481,General ⊂ Medical
descending,155,Descending Aorta Structure; Descending Colon Structure; Structure Of Descending Portion Of Duodenum; Dilatation Of The Descending Thoracic Aorta; Left Anterior Descending Septal Perforator Artery; Dilatation Of Descending Aorta,41; 14; 9; 1; 1; 1,0.7298263413956899,General ⊂ Medical
needle,437,Needle Biopsies Large Core; Transbronchial Fine Needle Aspiration; Speciman Obtained By Fine Needle Aspiration Procedure; Transthoracic Needle Aspiration Biopsy; Guidance For Percutaneous Aspiration . Fine Needle : Find : Pt : Xxx : Doc : Ct; Endobronchial Ultrasound Transbronchial Needle Aspiration; Fine Needle Aspiration Biopsy Procedures,14; 15; 3; 1; 2; 1; 5,0.7298625115727869,General ⊂ Medical
beta,5,Nadh Ubiquinone Oxidoreductase 1 Beta Subcomplex 8; 1 Beta D Arabinofuranosylcytosine 5 Palmitate,2; 1,0.7301075620891824,General ⊂ Medical
testicular,4,Stage Iiib Testicular Cancer Ajcc V6 And V7,9,0.7301164325920468,General ⊂ Medical
terminal,9,Resection Of Cecum And Terminal Ileum; Terminal Oesophageal Ring,7; 1,0.7302087918437923,General ⊂ Medical
tenth,8,Tenth Rib Fracture,2,0.7315413376175443,General ⊂ Medical
increase,1007,Increase In Size Since Previous Mammogram,141,0.731797200735902,General ⊂ Medical
member,5,Solute Carrier Family 33 Member 1; Tumor Necrosis Factor Ligand Superfamily Member 13B Gene; Nuclear Receptor Subfamily 2 Group B Member 1; Gipc Pdz Domain Containing Family Member 1; Serpin Family B Member 3 Wt Allele; Short Chain Dehydrogenase Reductase Family 18C Member 1; Tubulin Tyrosine Ligase Like Family Member 5,84; 103; 13; 5; 74; 3; 2,0.7318986712873505,General ⊂ Medical
recovery,20,Transverse Relaxation Time Fluid Attenuated Inversion Recovery Mri,28,0.7324319757683023,General ⊂ Medical
hours,793,Few Hours; 18 Hours; 6 Hours; 4 Hours; 8 Hours; 5 Hours; 7 Hours; Within 24 Hours; Paid Hours; Within Last 24 Hours,10; 3; 11; 44; 9; 26; 11; 1; 13; 5,0.732857741245249,General ⊂ Medical
fourth,237,Fourth Ventricle Of The Brain; Structure Of Lateral Recess Of Fourth Ventricle; Lateral Aperture Of The Fourth Ventricle; Level Of The Fourth Thoracic Vertebra; Fourth Lumbar Spinal Nerve; Fourth Rib Fracture; Entire Body Of Fourth Thoracic Vertebra,108; 1; 2; 3; 3; 3; 4,0.73362287733564,General ⊂ Medical
significance,75,Clinical Significance,14,0.7337751954822298,General ⊂ Medical
radiopaque,64,Computerized Axial Tomography Of Brain With Radiopaque Contrast,163,0.7342515587829583,General ⊂ Medical
mac,5,Monitored Anesthesia Care Mac For Deep Complex Complicated Or Markedly Invasive Surgical Procedure,1,0.7344906584668178,General ⊂ Medical
row,2,Tomography Multidetector Row Computed; Row Table,487; 2,0.7346527197252628,General ⊂ Medical
family,15,Solute Carrier Family 33 Member 1; Family History Of Coronary Artery Bypass Graft Surgery; Family History Of Coronary Arteriosclerosis; Gipc Pdz Domain Containing Family Member 1; Serpin Family B Member 3 Wt Allele; Short Chain Dehydrogenase Reductase Family 18C Member 1; Tubulin Tyrosine Ligase Like Family Member 5; Family History Of Myocardial Infarction,84; 197; 71; 5; 74; 3; 2; 2,0.7351664093632122,General ⊂ Medical
reported,95,Tuberculosis Status : Type : Point In Time : Patient : Nominal : Reported,1,0.7355707572329809,General ⊂ Medical
resistant,7,Bacteraemia Due To Methicillin Resistant Staphylococcus Aureus; Methicillin Resistant Pneumonia Due To Staphylococcus Aureus; Antimicrobial Resistant Organism Organism; Methicillin Resistant Staphylococcus Aureus Septicemia,9; 8; 1; 3,0.7362876408100718,General ⊂ Medical
sensitivity,18,Sensitivity And Specificity,1,0.7362993345375718,General ⊂ Medical
dish,3,Dish Diffuse Idiopathic Skeletal Hyperostosis,5,0.7364339077923066,General ⊂ Medical
guide,35,Catheter Guide Wire Device,150,0.7364916238539392,General ⊂ Medical
weighted,63,Diffusion Weighted Magnetic Resonance Imaging; T2 Weighted Magnetic Resonance Imaging; T2 Observed Weighted Imaging,36; 1; 23,0.7368240818439763,General ⊂ Medical
chamber,19,Single Chamber Pacemaker Device,2,0.7370949634760405,General ⊂ Medical
factor,7,Tumor Necrosis Factor Ligand Superfamily Member 13B Gene; Transcription Factor 21 Protein Human; Platelet Activating Factor Phosphonate; Cryoprecipitated Plasma With Antihemophilic Factor; Epidermal Growth Factor Receptor Protein Tyrosine Kinase,103; 18; 1; 2; 2,0.7371122439922108,General ⊂ Medical
lesser,67,Structure Of Lesser Curvature Of Stomach; Lesser Curvature Gastrohepatic Ligament Node,1; 1,0.7372032314688863,General ⊂ Medical
matter,422,Central Nervous System White Matter; Matter Periventricular White; Unclear State Of Matter; White Matter Changes; Periventricular Cerebral White Matter Hypodensities; Gray Matter Of Right Insula; Hyperintensity Of Cerebral White Matter On Mri; Structure Of White Matter Of Occipital Lobe; White Matter Of Left Temporal Lobe; Periventricular White Matter Changes; White Matter Of Brain Syndrome; Gray Matter Of Right Frontal Lobe; Gray Matter Of Left Parietal Lobe; Lesions In The White Matter,144; 77; 117; 3; 11; 2; 5; 1; 1; 2; 1; 2; 1; 1,0.7374695636345023,General ⊂ Medical
shadow,22,Cardiac Shadow Viewed Radiologically,449,0.7378523702152207,General ⊂ Medical
ninth,13,Ninth Rib Fracture,1,0.7383362354494721,General ⊂ Medical
circulating,1,Circulating Blood Volume,5,0.7386510937679783,General ⊂ Medical
fifth,50,Fifth Rib Fracture; Fifth Lumbar Spinal Nerve; Entire Body Of Fifth Lumbar Vertebra,1; 1; 1,0.7386711398283102,General ⊂ Medical
spaces,78,Prominent Perivascular Spaces; Narrowing Of The Joint Spaces,3; 4,0.7392835982732933,General ⊂ Medical
longitudinal,10,Posterior Longitudinal Ligament Structure,1,0.7392879537462466,General ⊂ Medical
conscious,24,Induction Of Conscious Sedation; Moderate Conscious Sedation,59; 3,0.7397511848732437,General ⊂ Medical
cortex,83,Cortex Of Right Cerebral Hemisphere; Cortex Of Right Kidney; Structure Of Cortex Of Frontal Lobe; Left Primary Motor Cortex; Right Primary Motor Cortex; Medial Cortex,1; 1; 5; 1; 1; 4,0.740842631909118,General ⊂ Medical
mr,1255,Mr Angiogram,9,0.741136722661453,General ⊂ Medical
six,67,Six Months,3,0.7415308106031415,General ⊂ Medical
computed,12,Tomography Multidetector Row Computed; Positron Emission Tomography With Computed Tomography; Contrast Enhanced Computed Tomography; Computed Tomography Angiography Of Thorax; Computed Tomography Of Lungs; Computed Tomography Cystography; Computed Tomography Of Abdomen And Pelvis Procedure; High Resolution Computed Tomography; Computed Tomography Perfusion Imaging; Computed Tomography Of The Brain Without Contrast; Computed Tomography Of Cervical Spine; Pelvic Computed Tomography With Contrast; Computed Tomography Of Abdomen : Pancreas Not Well Visualized Procedure; Expiratory Computed Tomography; Fdg Positron Emission Tomography And Computed Tomography Scan; Multi Detector Computed Tomography Angiography; Drainage Using Computed Tomography Guidance; Computed Tomography Of Chest Abdomen And Pelvis Procedure; Computed Tomography Of Abdomen : Adrenal Gland Not Visualized Procedure; Medical Imaging Single Photon Emission Computed Tomography; Computed Tomography Of Thoracic Spine; Computed Tomography Guided Core Biopsy; Abdominal Computed Tomography Liver; Interventional Computed Tomography Service; Neck Computed Tomography With Contrast; Multiphasic Computed Tomography Of The Abdomen; Computed Tomography Of Lumbar Spine,487; 138; 14; 43; 34; 4; 4; 5; 20; 14; 2; 1; 2; 1; 7; 3; 8; 1; 1; 1; 4; 8; 9; 1; 1; 1; 1,0.7417635728613033,General ⊂ Medical
bilaterally,558,Enlarged Axillary Lymph Nodes Bilaterally,1,0.7422482403877287,General ⊂ Medical
tests,8,Interpretation Of Laboratory Tests,9,0.742348589649011,General ⊂ Medical
capsule,24,Left External Capsule; Right Internal Capsule; Left Internal Capsule; Structure Of Genu Of Internal Capsule,6; 5; 1; 1,0.7432790852375311,General ⊂ Medical
due,1677,Bacteraemia Due To Methicillin Resistant Staphylococcus Aureus; Methicillin Resistant Pneumonia Due To Staphylococcus Aureus; Adverse Effect Due To Surgery; Dependence On Dialysis Due To End Stage Renal Disease; Bacterial Infection Due To Unspecified Streptococcus,9; 8; 1; 2; 4,0.7433177179719643,General ⊂ Medical
acquisition,44,Dynamic Acquisition; Image Acquisition,1; 3,0.7434906764633482,General ⊂ Medical
deposition,4,Focal Calcium Deposition; Diffuse Calcium Deposition Calcified Structure,3; 8,0.7435608768608148,General ⊂ Medical
months,28,Three Months; 2 Months; Six Months,4; 3; 3,0.7437410007282482,General ⊂ Medical
