pretty_name,cui,frequency,average_acc
Pacemakers Artificial Cardiac,C0030163,78,0.9690632661284693
Odontoid,C4284820,5,1.0
Alignment,C1706765,104,1.0
Outlines Document,C0600661,14,1.0
Structure Of Articular Surface Of Bone,C0222679,46,1.0
Uncovertebral Joint,C4763287,2,1.0
Neural,C3714606,105,1.0
Coarctation,C0333164,662,0.9906972821973727
Narrowing Of Intervertebral Disc Space,C0263870,10,0.847551993188038
Anatomic Node,C0746922,378,0.942566705496669
Atherosclerotic,C0333482,316,1.0
Blood Vessel Structure,C0005847,381,0.862586242508715
Carotid Artery Structure,C0007272,156,0.8972118629521472
Structure Of Carotid Sinus,C0007281,7,1.0
Multisection : Find : Pt : Spine . Thoracic : Doc : Ct,C0882139,51,0.9994117647058823
Well Marginated Nodule,C4761387,286,0.9474493240764574
Protrusions,C0333056,57,0.928586737363362
Not Well,C3841798,190,1.0
Atypia Morphology,C0741302,51,0.8774258355766248
Distribution,C1704711,135,0.9484877704119012
Lesion On The Bone,C0238792,47,0.8970971328878059
Multisection : Find : Pt : Abdomen Spine . Lumbar : Doc : Ct,C0882126,20,1.0
Structure Of Lumbar Vertebral Column,C3887615,265,0.991480782746052
Referring,C0205543,71,1.0
Hyperostosis External,C0015302,59,0.8887376229886196
Ligamentous,C0521342,7,1.0
Resulting,C0678226,88,1.0
Intubated,C4698386,925,1.0
Crowding,C0010383,31,0.9907114505587076
Considering,C0750591,291,1.0
Multisection : Find : Pt : Abdomen Pelvis : Doc : Ct,C1715387,130,1.0
Bony Appendage,C1184743,174,0.8047588568715887
Contrast Agent Administered Identifier,C2347863,4,1.0
Tdgf1P4 Gene,C3469969,1,1.0
Mediastinal Lymphadenopathy,C0520743,258,1.0
Liking,C0870814,178,1.0
Suggestive Of,C0332299,19,0.9239617440459031
Tracheobronchial Malacia,C1855228,2,1.0
Leiomyoma Of Body Of Uterus,C0042133,31,0.9895007399840465
Presentations,C0449450,384,0.972693595208605
Computerized Axial Tomography Without Contrast,C1275400,6,1.0
Micro Spiculations,C4761377,179,0.9639759370990229
Three Weeks,C4082109,2,1.0
Right Hilum,C0929177,196,1.0
Apparently,C0750541,81,1.0
Plate Like Atelectasis,C0264494,44,0.8312386768978801
Precarinal,C3897868,105,1.0
Station,C1883167,66,1.0
Assessment Of Jugular Central Venous Line,C2109206,61,1.0
Filled,C1708059,147,1.0
Sludge Gallbladder,C0860209,31,0.9783767844511256
No Hydronephrosis,C0237058,66,1.0
Calculus Of Kidney,C0392525,32,0.8941251233886245
Pool Action,C2349200,12,0.9956159828521258
Gastrointestinal Tract Small Intestine,C0021852,321,0.9902112306145081
Posterior Common Hepatic Lymph Node,C2952211,3,1.0
Urinary Bladder Structure,C0005682,131,0.82515907549353
Distending,C0700124,118,0.915939518268003
Indwelling Foley Catheter,C0179804,3,1.0
Lateral To The Left,C0450414,87,0.8436766063932782
Elevated,C0205250,265,0.9353576258583632
Metastatic Malignant Neoplasm To Liver,C0494165,40,1.0
Vena Jugularis Interna Dextra,C0501117,332,0.9640930379894691
20 Minutes,C5452764,15,1.0
Heart Beating Process,C2256369,4,1.0
Cardio Pulmonary,C0553534,109,0.9112481249618383
Moderately Enlarged,C5426030,30,1.0
Structure Of Upper Lobe Of Right Lung,C1261074,521,0.7795708146785961
Detailed,C1522508,103,0.9613484271169552
Apertura Sinus Maxillaris,C0024957,94,0.8135521648928983
Remaining,C1527428,337,1.0
Central Line Placement,C0919865,70,1.0
Vena Jugularis Interna Sinistra,C0501123,119,0.9517102562392943
Structure Of Subclavian Vein,C0038532,56,0.9901785714285719
Vascularity,C4068833,123,1.0
Chronic Infiltrative Lung Disease,C0746105,12,1.0
Harbour,C0475311,103,0.8400109376480753
Structure Of Brachiocephalic Vein,C0006095,197,0.9937593034083196
Moderate To Severe,C1299393,78,1.0
Cellular Structures,C0007634,215,0.8377137642319556
Drains Thoracic,C0008034,3108,0.9998642674149794
Surface Region Of Upper Chest,C0446469,49,1.0
Interstitial Pneumonitis,C0206061,8,1.0
Pneumonia Worsening,C0747702,6,1.0
Improving Qualifier Value,C1272745,186,1.0
Hoarseness Throat Symptom,C0019825,2,1.0
Swallowing Function,C0011167,33,0.8820732983398374
Have Difficulty Swallowing,C4084787,1,0.976827477499062
Slt Speech And Language Therapist,C0402015,2,1.0
Liquid Substance,C0302908,49,0.9124618960343265
Official,C2347387,6,1.0
Oral Psychosexual Phase,C0029170,20,1.0
Residue On Valleculae Following Swallowing,C4288293,15,1.0
Vocal Cord Structure,C0042930,7,0.9700351369406955
Paralysis Of Vocal Cords,C0042928,12,1.0
Slight Change,C3845594,3,1.0
Surface Region Of Lower Chest,C0446470,48,1.0
Background,C1706907,95,1.0
Asymmetry Qualifier Value,C0332514,241,0.9875899159399952
Solute Carrier Family 33 Member 1,C1412113,84,1.0
Tumor Necrosis Factor Ligand Superfamily Member 13B Gene,C2986676,103,1.0
6 Mm,C3842086,122,1.0
Nodular Density,C0746923,66,1.0
Active Follow Up,C1522577,534,0.975696336186745
Before Time,C1279919,413,0.868558212864648
Surgical Service,C0587668,1014,0.9999901380670612
Intravenous Catheters,C0745442,60,0.8899831100242346
Region Of Neck Body Structure,C0920882,17,0.9935294117647059
Relevance,C2347946,101,1.0
Ensure Product,C0218063,32,1.0
History Of Smoking,C4721824,11,0.9918181818181818
Septal Thickening,C2676460,81,1.0
Multiple Pulmonary Nodules,C0748164,48,1.0
Mildly Enlarged,C5425894,79,1.0
Display Arrangement,C0870432,150,0.9845842787550642
Series Set Of Composite Instances,C2348044,379,0.9784913984593068
Predominant,C1542147,595,0.9676902076407242
Bronchial Structure,C0006255,1189,0.9547961069816352
Hilar Adenopathy,C0149711,74,1.0
Tailoring,C0402883,89,1.0
No Abnormalities,C3809765,37,1.0
Malignant Disease,C0442867,7,1.0
Anatomic Location Of Primary Malignant Neoplasm,C0475447,3,1.0
Positron Emission Tomography With Computed Tomography,C1699633,138,0.9905419716864098
Units Hospital,C0019988,100,1.0
Age Related Atrophy,C3273211,9,1.0
Parieto Occipital,C5418622,45,1.0
Structures,C0678594,114,0.9459594245810742
Spiking Temperature,C0424781,2,1.0
Nuclear Medicine Imaging Procedure,C0034606,77,0.9533154009009953
Human Very Old Age 85,C0178694,100,1.0
Structure Of Nervous System Ganglion,C0017067,84,0.9794529909436991
Left External Capsule,C2338227,6,1.0
Right Internal Capsule,C2334778,5,1.0
Magnetic Resonance Imaging Using Gadolinium Contrast Procedure,C5394853,10,1.0
Basal Crepitations,C0240859,77,0.9902900108349363
Copd Chronic Obstructive Pulmonary Disease,C0024117,12,1.0
Diagnosing,C0011900,596,0.8764713604945235
Structure Of Hemidiaphragm,C1269845,311,0.8050965736855303
Pulmonary Infiltration,C0235896,54,0.9898372128248697
Fiduciary,C1708056,64,1.0
Basilar Atelectasis,C4049574,203,1.0
Procedures On Lung Pleura,C0869715,4,1.0
Phosphatidyl N Monomethylethanolamine Methyltransferase Activity,C1325022,15,1.0
Under Sedation,C0235195,133,0.8278179031235756
Lung Left Lung Mass,C0746117,76,1.0
Revealing,C0443289,77,0.8773658976191213
Benefitting,C0814225,39,1.0
Paraspinal Region,C5239513,8,1.0
Destination,C1521840,22,0.9832067966711379
Integumental System,C1123023,17,0.8342235073518027
Spinous Processes,C3897005,17,1.0
Subcutaneous Connective Tissue,C0278403,47,0.9650965152251848
Intrinsic Muscles Of The Back,C0448353,2,1.0
Transverse Anatomical Location,C0205106,78,0.8566620342311907
Does Turn Finding,C0541749,12,0.9823045185009103
Medical Device Deployment,C3640039,33,1.0
Laser Suite Retina Patient Tolerated Procedure Well Treatment,C2139128,103,1.0
Induction Of Conscious Sedation,C0079159,59,1.0
Unilocular Adipose Tissue,C0001527,174,0.9364863145691276
Left Pulmonary Viewed Anatomically Apex,C0225731,77,1.0
Set Of Skeletal Muscles,C1995013,42,0.9838576178441395
Medical Complication,C0009566,197,0.9386916792088609
Abilities,C0085732,41,1.0
Pass Indicator,C2828386,47,1.0
As Much As Desired,C1879743,37,1.0
Extremely Limited,C4489374,9,1.0
Metallic,C2986473,64,1.0
Stomach And Duodenum,C0391900,14,0.9957142857142857
Passageway,C0439799,18,0.98333454447286
Endoscopic Fiberoptic Examinations,C0014245,2,0.7864107512881835
Anatomical Lobe,C0796494,336,0.9524132712490628
Pathology Field,C0030664,164,0.9265721385924448
Structure Of Upper Lobe Of Lung,C0225756,325,1.0
Widened Structure,C0332464,58,0.9064474871330416
Structure Of Left Hand,C0230371,2,1.0
Leptomeningeal Enhancement,C4732837,18,1.0
Restricted Diffusion,C2826108,78,1.0
Thrombosis Of Venous Sinuses,C0740384,1,1.0
Prominent Perivascular Spaces,C2750933,3,1.0
New Onset,C0746890,98,1.0
Flair Product,C0309093,218,1.0
Thrombotic Disorder,C0040053,99,0.9462893279761329
Legal Patent,C0030650,740,1.0
Obstruction Occlusion,C0028778,170,0.9890542147377583
Clots Blood,C0087086,27,0.8198187845367573
Structure Of Base Of Left Lung,C0225732,256,1.0
Structure Of Lower Lobe Of Right Lung,C1261075,722,0.7857335157418076
Projections And Predictions,C0016538,64,0.9905244287365449
Emphysematous Change,C0743482,142,1.0
Structure Of Base Of Right Lung,C0225708,390,1.0
Conclusions,C1707478,134,1.0
Pe Pulmonary Embolism,C0034065,474,1.0
Optical Image Reconstruction,C0020912,237,0.949152589698811
Cavitation Process,C2700618,58,0.897626769345525
Liver And Spleen,C0545797,96,1.0
Left Anterior Chest,C0694647,8,1.0
Left Anterior,C0441998,48,0.8598919307129136
Lung . Bilateral,C0225754,83,0.8084355387575363
Distinct Procedural Service,C0520259,326,1.0
Spatial Displacement,C0012727,174,0.9897037946149937
Left Hilum,C0929178,126,1.0
Lobar Pneumonia Left Lower Lobe,C0585104,45,1.0
Beginnings,C0439659,14,1.0
Locates,C3687616,8,1.0
Tubes And Lines,C0547841,58,1.0
Right Sided Pleural Effusion,C2063366,270,1.0
Glaucoma Drainage Tube In Good Position,C1827796,18,1.0
Parenchymal Consolidation,C5139174,39,1.0
Collection Action,C1516698,714,0.9645827513550183
Peripherally Inserted Central Catheter Line Insertion,C2049629,608,0.8623684062541062
Current Procedural Terminology Code,C1136322,186,1.0
Accessing,C0444454,220,0.9805726365206378
Peripherally Inserted Central Catheter Picc Double Luman,C2026139,44,1.0
Proximal Segment Of Free Upper Limb,C0446516,33,0.959558962066041
Superior Vena Cava Structure,C0042459,357,0.9522567231872271
Replaced By,C1299987,54,0.9660773304429533
Pafc Pulmonary Artery Flotation Catheter,C0179790,39,1.0
Application,C4048755,75,1.0
Reimplantation Procedure,C0035139,43,0.8501523098070926
Peripherally Inserted Central Catheter Picc Single Luman,C2026141,22,1.0
Status Pacemaker Cardiac,C1409068,1,1.0
Surgical Removal Procedure,C0015252,337,0.8698269961457877
Pulmonary Viewed Anatomically Apex,C0225703,141,0.9985988256739483
Muscle Of Pectoral Part Of Chest,C0030747,3,0.9229484201925403
Wires Orthopedic,C0005978,133,0.9233244227554711
Major Fissure,C0929208,58,1.0
4 Mm,C3842087,159,1.0
Chest Wall Structure,C0205076,443,0.9700220999386706
Bowel Loop,C1394717,48,1.0
Wall Of Colon,C0734007,6,0.8269570966228369
Left Pneumothorax,C0546334,237,1.0
Right Major Fissure,C0929209,15,1.0
Distension Of Gall Bladder,C1397941,13,1.0
Resident Physician,C1320928,29,0.9297181392329816
Patient Need For Contextual Qualifier,C0686904,32,0.9698231925968503
Not At All Able,C4048706,112,0.9996353540484862
Drapes Device,C0180504,144,1.0
2 Dimensional Grayscale Ultrasound Imaging,C0041618,420,0.9857342699726772
Amenable,C3900053,54,1.0
Determination,C0521095,35,1.0
4 Fr,C4068972,5,1.0
Locked,C3244297,16,1.0
Liver Function Analysis,C0023901,35,0.9981327518658029
Space Occupying Lesion Of Brain,C0742078,435,1.0
Obscured,C4727091,215,1.0
Vasogenic Edema,C2825502,437,1.0
Fourth Ventricle Of The Brain,C0149556,108,0.8163374822718972
Tonsillar Structure,C0040421,31,0.9919354838709672
Posterior Fossa,C1116439,104,1.0
Laci Lacunar Infarction,C0333559,4,1.0
Sphenoid Sinus Structure,C0037885,51,0.8281482187816104
Cerebellar Hemisphere Structure,C0228465,186,0.8186373819386206
Sphenoidal Sinusitides,C0037886,1,1.0
Ordering Physician,C1709334,18,1.0
Tumour Resection,C4761063,59,1.0
Postoperative Periods,C0032790,95,0.9974836662776367
Improves,C0184511,20,0.9941273392366305
Post Operative Finding,C0241311,35,1.0
Date Range,C0805843,9,1.0
Cavitation,C1510420,298,0.9436338643541106
Cerebellar Mass,C0742036,206,1.0
Slice,C1519355,87,1.0
New Finding Since Previous Mammogram,C1268649,22,1.0
Paraesophageal Hiatal Hernias,C0267725,1,1.0
Structure Of Left Lobe Of Liver,C0227486,55,1.0
Characterizes,C3875152,198,1.0
Structure Of Large Intestine,C0021851,39,0.7819332543401116
No Ascites,C5395761,27,1.0
Uterus Ovaries,C2700133,1,1.0
Free Pelvic Fluid,C0237041,47,1.0
Mild Sclerosis,C1840417,2,1.0
Pericardial Lymph Node,C3897951,6,1.0
Abundance,C2346714,4,1.0
3 Mm,C3842088,103,1.0
Acute Infarcts,C0333548,9,0.7866473694226879
Structure Of Tentorium Cerebelli,C0228121,14,0.9786000988410819
Lacunes,C0241970,18,1.0
Left Caudate Nucleus,C2330782,6,1.0
Subcortical,C0815275,97,1.0
Pigtail Catheters,C0879203,181,1.0
Patient Is Female,C0150905,16,1.0
Lobar Pneumonia Right Lower Lobe,C0585105,39,1.0
Examination Of Chest,C0850563,73,1.0
Congested,C1533708,8,1.0
Not Covered,C3242232,1,1.0
Chest Findings,C0150872,33,1.0
Tube And Drain Connections Orogastric Tube,C5559367,60,1.0
